도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도,
고속국도,고속국도105호선,밤갓터널(김해),경상남도,창원시 진해구,남문동,,2052,12.6,9.2,7.1,1,7126,전문관리기관,부산신항제2배후도로㈜,본사,2017,
고속국도,고속국도105호선,밤갓터널(신항),경상남도,창원시 진해구,소사동,,2057,12.6,9.2,7.1,1,7126,전문관리기관,부산신항제2배후도로㈜,본사,2017,
고속국도,고속국도10호선,밤재터널(순천),전라남도,영암군,학산면,묵동리,655,11.5,10.3,7.3,,6546,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,밤재터널(영암),전라남도,영암군,학산면,묵동리,669,11.5,10.3,7.3,,6546,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도20호선,방곡터널(익산),전북특별자치도,진안군,진안읍,오천리,928,11.4,7.2,7.3,,8033,전문관리기관,한국도로공사,진안지사,2007,
고속국도,고속국도20호선,방곡터널(장수),전북특별자치도,진안군,진안읍,오천리,928,11.4,7.2,7.3,,8033,전문관리기관,한국도로공사,진안지사,2007,
고속국도,고속국도400호선,방도터널(봉담),경기도,광주시,도척면,추곡리,950,7.2,7.2,4.8,,12848,전문관리기관,화성광주고속도로㈜,본사,2022,
고속국도,고속국도400호선,방도터널(양평),경기도,광주시,도척면,추곡리,910,7.2,7.2,4.8,,12848,전문관리기관,화성광주고속도로㈜,본사,2022,
고속국도,고속국도14호선,배내골나들목터널,경상남도,양산시,원동면,선리,245,9.4,6.3,6,,5778,전문관리기관,한국도로공사,서울산지사,2020,
고속국도,고속국도32호선,배방터널(당진),충청남도,아산시,배방읍,세교리,314,12.2,12.2,0,,11183,전문관리기관,한국도로공사,천안지사,2023,
고속국도,고속국도32호선,배방터널(청주),충청남도,아산시,배방읍,세교리,314,12.2,12.2,0,,11183,전문관리기관,한국도로공사,천안지사,2023,
고속국도,고속국도20호선,백안터널(대구),대구광역시,동구,평광동,,590,11.8,7.2,7.3,,21178,전문관리기관,한국도로공사,영천지사,2004,
